quantity,original_price,unit_price,item_total,channel,channel_campaigns,product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender
2,61.27,61.91,32.38,App Mobile,App Mobile,mostly64-f058-4a56-a2af-11c832cd9404,Soft Siak  rees,T-Shirts,Tiva,Blue,XS,54.68,26.39,Female
1,67.84,66.03,162.12,E-commerce,Website Banner,mostly7d-c32c-49bd-a743-46e2db6ff656,Soft SottLT eesress,Dresses,Tiva,Blue,S,61.62,35.61,Female
1,33.73,74.82,150.51,E-commerce,Website Banner,mostly45-641b-449b-9656-c74f72fc063a,Esstatial Sin,Sleepwear,Tiva,White,M,27.17,25.51,Female
1,54.83,42.84,38.5,E-commerce,Website Banner,mostlyd3-c945-4c9c-82fd-c3856974a3fc,Celssic Satin Tee,T-Shirts,Tiva,Black,S,60.55,29.97,Female
1,77.92,52.57,19.3,E-commerce,Website Banner,mostly9c-ca20-4082-a0b0-c7b0c553d583,Modern Rilbe Dress,Dresses,Tiva,Black,XL,75.21,50.45,Female
1,55.01,36.13,43.91,E-commerce,Website Banner,mostly57-e11f-4134-90d2-eeb2b18a1b23,Vintage Wrap Tee,T-Shirts,Tiva,Black,XS,68.32,33.2,Female
1,68.5,26.83,55.0,E-commerce,App Mobile,mostly07-05b8-4a38-980f-9829b6beea98,Soft High-Waist Dress,Dresses,Tiva,Green,M,42.79,12.78,Female
1,58.09,24.4,141.5,E-commerce,Website Banner,mostlyd1-2b70-428e-be72-baf585504ef8,Modern Sbee Toess re,T-Shirts,Tiva,White,XS,78.63,24.79,Female
1,40.94,40.89,69.3,E-commerce,Website Banner,mostly04-5a14-4e5e-9694-fd593016bda5,Soft tibbed eee,T-Shirts,Tiva,Blue,S,45.85,19.09,Female
1,58.52,42.57,38.93,App Mobile,App Mobile,mostly1b-cffc-4d37-bad2-f987b73622d5,Modern Bo Thoes,Shoes,Tiva,Blue,38,45.79,43.67,Female
1,80.97,33.86,27.34,App Mobile,App Mobile,mostly92-b3c1-4b42-8c8e-1c39e15079b7,Vintage Cinen Drees,T-Shirts,Tiva,Blue,35,59.21,27.28,Female
1,80.9,64.12,59.37,App Mobile,App Mobile,mostlydb-0134-46ff-bba1-741ede511e53,Soft Sleevelese Trousers,Pants,Tiva,Red,M,57.66,21.15,Female
1,49.22,30.43,136.84,E-commerce,Website Banner,mostlya5-5162-4b4d-8830-8e64b560dac1,Eseeeial Sotn Tee,Sleepwear,Tiva,Green,XL,34.42,28.13,Female
1,40.54,80.64,38.74,E-commerce,Website Banner,mostly3f-16cb-4992-9d3a-7bfaf2094e75,Essential So Trousers,Pants,Tiva,Black,L,50.82,32.13,Female
1,66.77,27.89,28.8,E-commerce,Email,mostly5c-642f-4886-a5f9-e117ea4ff413,Modern Slle eee,Sleepwear,Tiva,Green,M,61.55,25.67,Female
1,48.26,52.49,61.83,App Mobile,Social Media,mostlyfc-bbce-43b7-96ec-e95a27e06ee3,Bold Satin Te,T-Shirts,Tiva,White,S,34.6,34.61,Female
1,62.16,50.18,48.23,E-commerce,Website Banner,mostlycd-ee0c-4d6b-b904-4b4acfe0ade6,T-Sgirts Drop,T-Shirts,Tiva,Black,L,41.05,16.5,Female
1,29.48,32.69,37.33,E-commerce,Website Banner,mostly7a-9942-4a4c-8464-acabc6d50293,Plaished ratin Tet,Sleepwear,Tiva,White,L,60.89,22.87,Female
1,67.5,52.06,52.78,App Mobile,App Mobile,mostlyac-b8d8-43b3-a408-04f8b87b09ae,Vintage Wrap See,Sleepwear,Tiva,White,XL,76.47,33.21,Female
2,32.99,26.21,60.82,E-commerce,Website Banner,mostly34-e6a9-48a0-bceb-c95dec5f4be9,Elegant Sltin Set,T-Shirts,Tiva,Green,XL,71.58,40.51,Female
1,46.0,48.28,27.1,App Mobile,App Mobile,mostly19-90a7-4f2f-97eb-937019bd8b42,Polished Selk Set,Sleepwear,Tiva,Black,M,49.73,12.32,Female
1,22.98,77.94,162.12,App Mobile,Social Media,mostlyb2-31ea-4109-b78c-1758ba53d3f4,Elegant Satin Tee,T-Shirts,Tiva,White,XS,71.43,27.21,Female
